C,Hpep,Dec,D,L
0.0215171,0.421652400000274,0.161485000000028,0.276944300000133,0.118401199999993
0.033406200000002,0.421952800000275,0.131649499999998,0.170979500000026,0.242012000000087
0.0001113,0.999547299998186,7.6800000000001E-05,0.0001485,0.0001161
0.028193600000001,0.759138499999167,0.104405099999995,0.066157500000004,0.042105300000002
0.162413700000009,0.091775300000028,0.171697500000026,0.267164100000105,0.306949400000139
0.0106678,0.407317600000263,0.182279700000043,0.16217180000001,0.237563100000084
0.0238198,0.871205799998748,9.50000000000015E-05,0.041968300000004,0.062911100000009
0.0001291,0.999463699998207,0.0001839,0.0001385,8.48000000000012E-05
0.0001144,0.999448799998227,0.0001642,0.0001712,0.0001014
9.78000000000015E-05,0.999483299998213,0.0001498,8.67000000000013E-05,0.0001824
0.013818299999999,0.618668699999869,0.178229700000034,0.105398699999994,0.083884600000002
0.066821500000003,0.135767300000005,0.21978700000008,0.338932900000188,0.238691300000081
0.00016,0.844978999998847,0.128634799999987,0.0062348,0.019991399999999
0.037079700000001,0.926288999998424,0.0001694,0.018155399999999,0.0183065
0.0065181,0.614923499999855,0.086362900000004,0.156950900000018,0.135244599999991
0.0001534,0.99950129999823,8.70000000000013E-05,8.91000000000013E-05,0.0001692
0.076194900000006,0.323852800000188,0.279061500000128,0.211524500000069,0.109366299999995
0.147886899999997,0.0026222,0.313064000000158,0.301292800000129,0.235134100000068
0.040177499999999,0.172822600000034,0.175935800000036,0.431666400000273,0.179397700000027
0.045446300000004,0.0001189,0.354213500000215,0.421297400000267,0.178923900000041
0.0001038,0.75759929999923,0.0061003,0.153124100000014,0.0830725
0.029899800000001,0.550489600000074,0.089135500000004,0.170969500000023,0.159505600000018
0.121679299999981,0.13259039999999,0.123648099999991,0.189838100000049,0.432244100000272
0.0111028,0.91407909999857,0.0356425,0.039006600000001,0.000169
0.020180199999999,0.3439729000002,0.146449000000011,0.328824000000187,0.160573900000017
0.0001009,0.999487999998217,0.0001094,0.0001265,0.0001752
0.139836099999999,0.052165100000012,0.33231180000018,0.260821000000108,0.214866000000063
0.0001538,0.923013999998552,0.05492450000001,0.016987299999999,0.0049204
0.028740199999999,0.340253200000197,0.116154999999995,0.275589800000116,0.239261800000085
0.0001044,0.999584799998187,6.55000000000007E-05,0.0001475,9.78000000000015E-05
0.0115534,0.894387299998648,0.060370500000005,0.0242684,0.0094204
0.108509299999993,0.309566900000166,0.175802200000034,0.196009400000061,0.210112200000062
0.035715500000002,0.436379400000296,0.115162599999993,0.323490200000176,0.0892523
0.0144603,0.352641000000208,0.157881300000025,0.295072600000139,0.179944800000031
0.0001641,0.9994779999982,0.0001445,0.0001155,9.79000000000015E-05
0.136755299999989,0.438781600000327,0.073441400000006,0.176359600000039,0.174662100000033
0.132216099999987,0.540908400000224,0.0001386,0.192271400000051,0.134465499999996
0.0642126,0.879219599998602,0.0033629,0.020976899999999,0.032228
9.12000000000014E-05,0.999518899998165,0.0001269,0.0001278,0.0001352
0.0001562,0.999475999998208,0.0001467,0.0001396,8.15000000000011E-05
0.05805660000001,0.535607300000205,0.076349700000005,0.206176600000058,0.12380979999999
0.047233400000002,0.789403699999107,0.034312600000002,0.082116200000007,0.046934100000006
0.047471700000004,0.747845199999181,0.057063600000006,0.047134800000003,0.100484699999995
