C,D,Int,L,PeP,Dec
0.010191,0.358887800000212,0.0345618,0.102346599999996,0.096502199999997,0.39751060000025
0.069561400000009,0.420664200000257,0.016709699999999,0.276586000000116,0.116077199999993,0.100401500000001
0.072478200000004,0.30604550000015,0.021348699999999,0.181285900000038,0.057481200000006,0.361360500000215
0.047700000000005,0.112235699999996,0.027088899999999,0.228262100000085,0.399131900000225,0.185581400000041
0.0052446,0.29648210000014,7.4700000000001E-05,0.515123900000269,7.4500000000001E-05,0.183000200000038
0.043248800000001,0.228002500000066,0.0136058,0.203031200000053,0.066205900000009,0.445905800000293
0.029171399999999,0.207697200000068,0.101740700000006,0.146813399999999,0.16706060000004,0.347516700000187
0.049122600000003,0.220850500000078,0.061806000000009,0.071563100000003,0.155257700000011,0.44140010000029
3.74000000000001E-05,0.186181600000045,0.119838599999985,0.122281299999991,0.429108000000274,0.142553100000002
0.0207702,0.130014099999992,0.059428700000007,0.269309400000129,0.198914600000058,0.32156300000017
0.0001527,0.218100600000065,0.0268273,0.108367099999994,0.232102200000069,0.414450100000258
0.037804900000002,0.325562600000179,0.001799,0.192346800000041,0.189464800000037,0.2530219000001
0.060822600000007,0.224109900000068,0.0018331,0.162828700000024,0.110754399999992,0.439651300000278
0.017947,0.418176900000272,0.040954500000002,0.212768400000072,0.145741100000007,0.164412100000023
0.076414200000003,0.362147700000204,0.0001376,0.160901800000012,0.026961599999999,0.373437100000224
0.0022387,0.245712900000086,0.0183338,0.439034900000282,0.113925099999991,0.180754600000033
0.0154939,0.174682400000037,0.110560699999999,0.154673200000017,0.129994199999981,0.414595600000262
0.0346897,0.301384000000144,0.025174599999999,0.235786000000087,0.229301500000069,0.173664200000019
0.0203929,0.51623470000027,0.0023565,0.275729500000115,0.033822499999999,0.151463900000001
0.0125232,0.448264700000294,0.184400700000012,0.1366544,0.005232,0.212925000000064
0.0001144,0.368570800000207,0.0033604,0.090402099999999,0.292684500000103,0.244867800000096
0.027292399999999,0.351014400000203,0.0009708,0.239745200000084,0.2447608000001,0.136216400000006
