C,D,Int,L,PeP,Dec
0.037844800000001,0.537880400000179,0.068708900000008,0.166758000000028,0.076521200000006,0.112286699999998
0.0156273,0.265586600000115,0.070338200000008,0.212807900000063,0.057264100000005,0.378375900000228
0.0001891,0.344882900000191,0.043859600000002,0.202572400000048,0.070695899999999,0.337800100000181
0.021256599999999,0.170454500000031,6.30000000000007E-05,0.174328400000024,0.21525420000007,0.418643300000267
0.042143000000004,0.421635600000263,0.090160400000002,0.129900599999992,0.033626699999999,0.282533700000136
0.0012382,0.286652300000123,0.039449500000002,0.384707000000227,0.119914599999986,0.168038400000023
0.047166300000003,0.489791300000321,0.069537500000008,0.163697400000017,0.0332786,0.196528900000051
0.018524099999999,0.363182300000201,0.077163300000003,0.1109938,0.297206300000138,0.132930200000001
0.027753,0.420893400000265,0.081145700000008,0.158982000000021,0.210436800000061,0.100789099999994
0.0068047,0.426354500000251,0.0112841,0.116723299999991,0.102412599999996,0.336420800000183
0.014807399999999,0.417129400000259,0.124741799999986,0.218153500000062,0.0031624,0.222005500000075
0.081791200000003,0.346079300000195,0.084652500000001,0.242655900000075,0.022315399999999,0.222505700000084
0.0217375,0.526252800000213,0.058233900000009,0.23322160000008,0.0001765,0.160377700000027
0.018874599999999,0.575115500000013,0.0005378,0.080030200000002,0.173108000000028,0.152333900000008
0.062068900000008,0.460749500000309,0.078098100000005,0.237960000000086,0.0118393,0.149284200000019
0.030637699999999,0.404581800000238,0.108849899999993,0.179002700000038,0.037281700000002,0.239646200000087
0.032029500000001,0.344582300000187,0.0001368,0.154170300000011,0.175805700000035,0.293275400000137
0.039564800000001,0.402931400000251,0.062490600000007,0.200083900000051,0.150425800000014,0.144503500000005
0.032543599999999,0.341914600000203,0.051853300000007,0.167651400000022,0.148808300000004,0.257228800000109
0.059494300000006,0.571916500000038,0.064679400000007,0.188173200000031,0.021513199999999,0.094223400000003
0.027668099999999,0.355042000000199,0.0326848,0.144123700000007,0.044431400000004,0.396050000000234
0.041195100000002,0.139541,0.083228300000006,0.316665500000153,0.206644300000061,0.212725800000061
0.078796500000005,0.386269500000231,0.0001563,0.055561000000006,0.199526800000053,0.279689900000134
0.075197400000006,0.319099500000154,0.069950700000008,0.178139400000019,0.077552700000004,0.280060300000137
0.075976200000007,0.589034299999952,0.060234600000007,0.160430500000016,0.033520900000001,0.080803500000006
0.125037099999996,0.212011400000065,0.0010609,0.295066600000142,0.13344079999999,0.233383200000092
0.028989399999999,0.449399800000269,0.116786099999995,0.241154900000073,0.0307063,0.1329635
0.030264799999999,0.320785100000166,0.044992300000002,0.201289000000062,0.227871600000079,0.174797200000026
0.01913,0.261423000000101,0.084016400000003,0.290693000000143,0.207676900000037,0.137060699999999
0.029690699999999,0.459101100000301,0.025551899999999,0.140534200000004,0.084420100000001,0.260702000000104
0.0127018,0.268944600000109,0.185026600000034,0.190657700000035,0.060947100000007,0.281722200000123
0.0118228,0.567455300000091,0.06537940000001,0.187418900000042,0.0001218,0.167801800000029
