C,D,PoP,L,PeP,Dec
0.022159699999999,0.263099300000101,0.0115914,0.202168900000047,0.281526100000135,0.219454600000075
0.0001098,0.314396400000152,0.0012125,0.166470000000024,0.169282400000028,0.348528900000193
0.032757800000002,0.219319700000071,0.043747000000003,0.283803800000126,0.184046900000036,0.236324800000087
0.0051328,0.272787900000112,0.0020369,0.327304700000182,0.0072842,0.385453500000235
0.089428299999995,0.378775100000224,0.0124082,0.117189999999994,0.202094400000054,0.200104000000055
0.0001195,0.526224000000248,0.022212599999999,0.17077800000004,0.096094799999998,0.184571100000038
0.0059465,0.372453400000216,0.0057243,0.229312000000073,0.154522800000012,0.232041000000087
0.0001533,0.483891600000326,0.0002243,0.156477300000016,0.071173400000005,0.288080100000135
0.011876599999999,0.507990700000316,0.0159453,0.141195900000004,0.101936399999994,0.221055100000063
0.041341300000001,0.379252700000214,0.0370625,0.251548200000082,0.022633399999999,0.268161900000116
0.0825023,0.268561100000122,0.0851837,0.188422100000034,0.052654700000007,0.322676100000171
0.028070699999999,0.426736000000273,0.027135099999999,0.161339500000023,0.066642000000008,0.29007670000015
0.0105514,0.386656500000225,0.0087346,0.151638700000003,0.0319674,0.410451400000267
0.085067600000013,0.412041800000244,0.055790300000006,0.152400800000012,0.072233000000005,0.222466500000078
0.032743700000005,0.249258300000105,0.0025031,0.139594799999995,0.032864,0.543036100000169
0.0215278,0.191999900000042,0.0081525,0.230470600000071,0.160266100000015,0.387583100000239
0.060323500000003,0.272308800000119,0.0360874,0.173356000000022,0.064058300000009,0.393866000000241
0.0404421,0.374013400000218,0.071810300000012,0.177770900000031,0.053279000000004,0.282684300000134
0.0693377,0.309927300000155,0.019356099999999,0.16192330000002,0.043177600000003,0.396278000000235
0.0143445,0.268004200000117,0.043425500000002,0.271398100000128,0.075332200000006,0.327495500000171
0.043240000000001,0.236419400000074,0.029051999999999,0.238027100000072,0.165711800000029,0.28754970000013
0.0007659,0.127140099999993,0.0126583,0.351776600000197,0.145249700000005,0.36240940000022
0.040484499999999,0.469234500000318,0.01002,0.165179400000015,0.032524400000002,0.282557200000133
0.056855500000008,0.334685100000174,0.0005369,0.18010320000004,0.06385230000001,0.363967000000214
0.0004607,0.248512100000109,0.0019761,0.268265400000114,0.060102800000008,0.420682900000272
0.0196479,0.312865600000157,0.076086500000003,0.124991799999986,0.067509800000008,0.398898400000247
0.029948000000001,0.314029500000161,0.0203545,0.247091100000097,0.043712600000002,0.344864300000201
0.105347299999996,0.469514200000317,0.0011723,0.148427900000006,0.126990599999985,0.148547700000004
0.0001675,0.418816100000263,0.030100599999999,0.176346300000037,0.069821600000007,0.304747900000139
0.012306799999999,0.428522500000278,0.047902600000005,0.196381100000039,0.157520100000015,0.157366900000018
0.140616900000025,0.369723600000215,0.051275200000003,0.183089300000024,0.067430400000009,0.187864600000055
0.030296199999999,0.238239100000098,0.00522,0.334531000000193,0.112139999999993,0.279573700000118
0.0233312,0.601486199999936,0.038218400000002,0.087593099999997,0.146634600000003,0.102736499999995
0.062660400000011,0.548998300000141,0.017226,0.113684099999994,0.084105800000003,0.173325400000039
0.0100498,0.391302400000224,0.056503100000007,0.184270500000037,0.067091000000006,0.290783200000136
0.028528399999999,0.199180500000048,8.05000000000011E-05,0.146379100000005,0.144760300000002,0.481071200000324
0.056095900000001,0.364543300000205,0.038432400000003,0.143755999999998,0.081732800000006,0.315439600000167
0.034085600000001,0.405676200000255,0.0184665,0.189372500000032,0.136302399999993,0.21609680000007
0.0060242,0.268160100000114,0.114704399999995,0.096475099999996,0.206249900000068,0.308386300000167
